pc,tool_1,version_1,contract,type,property
908.0,securify,0,0x2f5cd5d797ec8868a5aaefd784ed2c5bc46a1a47,Violation,RestrictedWrite
916.0,securify,0,0x2f5cd5d797ec8868a5aaefd784ed2c5bc46a1a47,Violation,RestrictedWrite
933.0,securify,0,0x2f5cd5d797ec8868a5aaefd784ed2c5bc46a1a47,Violation,RestrictedWrite
629.0,securify,0,0xdcb13fa157eebf22ddc8c9aa1d6e394810de6fa3,Violation,RestrictedWrite
640.0,securify,0,0xdcb13fa157eebf22ddc8c9aa1d6e394810de6fa3,Violation,RestrictedWrite
648.0,securify,0,0xdcb13fa157eebf22ddc8c9aa1d6e394810de6fa3,Violation,RestrictedWrite
710.0,securify,0,0xdcb13fa157eebf22ddc8c9aa1d6e394810de6fa3,Violation,RestrictedWrite
683.0,securify,0,0x143E8bD26D95b230680C25300F93eF56F86eCCAC,Violation,RestrictedWrite
694.0,securify,0,0x143E8bD26D95b230680C25300F93eF56F86eCCAC,Violation,RestrictedWrite
1358.0,securify,0,0x45e42d659d9f9466cd5df622506033145a9b89bc,Safety,TimestampDepend
540.0,securify,0,0x45e42d659d9f9466cd5df622506033145a9b89bc,Violation,RestrictedWrite
632.0,securify,0,0x45e42d659d9f9466cd5df622506033145a9b89bc,Violation,RestrictedWrite
260.0,securify,0,0x5b2ff75d7eaa47db475707dae12a688102ef4290,Safety,TimestampDepend
1169.0,securify,0,0x5b2ff75d7eaa47db475707dae12a688102ef4290,Safety,TimestampDepend
1229.0,securify,0,0x5b2ff75d7eaa47db475707dae12a688102ef4290,Safety,TimestampDepend
1604.0,securify,0,0x5b2ff75d7eaa47db475707dae12a688102ef4290,Safety,TimestampDepend
1669.0,securify,0,0x5b2ff75d7eaa47db475707dae12a688102ef4290,Safety,TimestampDepend
2214.0,securify,0,0x5b2ff75d7eaa47db475707dae12a688102ef4290,Safety,TimestampDepend
2552.0,securify,0,0x5b2ff75d7eaa47db475707dae12a688102ef4290,Safety,TimestampDepend
3494.0,securify,0,0x5b2ff75d7eaa47db475707dae12a688102ef4290,Safety,TimestampDepend
3749.0,securify,0,0x5b2ff75d7eaa47db475707dae12a688102ef4290,Safety,TimestampDepend
4941.0,securify,0,0x911143d946ba5d467bfc476491fdb235fef4d667,Safety,TimestampDepend
1382.0,securify,0,0x9448b35b4c9eea695dedff285e0cd8bc6c65e2b1,Violation,RestrictedWrite
1312.0,securify,0,0x9448b35b4c9eea695dedff285e0cd8bc6c65e2b1,Violation,RestrictedWrite
1508.0,securify,0,0x9448b35b4c9eea695dedff285e0cd8bc6c65e2b1,Violation,RestrictedWrite
849.0,securify,0,0x5e49ec3fbd55e7b86a5a5b1a32c73aa44b42b4af,Violation,RestrictedWrite
890.0,securify,0,0x5e49ec3fbd55e7b86a5a5b1a32c73aa44b42b4af,Violation,RestrictedWrite
897.0,securify,0,0x5e49ec3fbd55e7b86a5a5b1a32c73aa44b42b4af,Violation,RestrictedWrite
904.0,securify,0,0x5e49ec3fbd55e7b86a5a5b1a32c73aa44b42b4af,Violation,RestrictedWrite
911.0,securify,0,0x5e49ec3fbd55e7b86a5a5b1a32c73aa44b42b4af,Violation,RestrictedWrite
921.0,securify,0,0x5e49ec3fbd55e7b86a5a5b1a32c73aa44b42b4af,Violation,RestrictedWrite
128.0,securify,0,0x0e08f0daee46e772eee7999c5b6d7d0401d8d72b,Safety,TimestampDepend
777.0,securify,0,0x062524205ca7ecf27f4a851edec93c7ad72f427b,Violation,RestrictedWrite
784.0,securify,0,0x062524205ca7ecf27f4a851edec93c7ad72f427b,Violation,RestrictedWrite
1349.0,securify,0,0x2a28cc275b458019910e3b8b8ee58f17eb6d38c8,Violation,RestrictedWrite
240.0,securify,0,0x477bb914dc811282675eadb05a1c272132429bbb,Safety,TimestampDepend
290.0,securify,0,0x477bb914dc811282675eadb05a1c272132429bbb,Safety,TimestampDepend
492.0,securify,0,0x477bb914dc811282675eadb05a1c272132429bbb,Safety,TimestampDepend
539.0,securify,0,0x477bb914dc811282675eadb05a1c272132429bbb,Safety,TimestampDepend
801.0,securify,0,0xa0285193e366a634fd9639d650b2115d77681a37,Violation,RestrictedWrite
818.0,securify,0,0xa0285193e366a634fd9639d650b2115d77681a37,Violation,RestrictedWrite
826.0,securify,0,0xa0285193e366a634fd9639d650b2115d77681a37,Violation,RestrictedWrite
843.0,securify,0,0xa0285193e366a634fd9639d650b2115d77681a37,Violation,RestrictedWrite
629.0,securify,0,0x883ee0b0ce06f11cb215c7e2299f1948b247784b,Violation,RestrictedWrite
642.0,securify,0,0x883ee0b0ce06f11cb215c7e2299f1948b247784b,Violation,RestrictedWrite
654.0,securify,0,0x883ee0b0ce06f11cb215c7e2299f1948b247784b,Violation,RestrictedWrite
709.0,securify,0,0x883ee0b0ce06f11cb215c7e2299f1948b247784b,Violation,RestrictedWrite
734.0,securify,0,0x5a437D94843541d5cB83221a4A4B253dE30B97b7,Violation,RestrictedWrite
753.0,securify,0,0x5a437D94843541d5cB83221a4A4B253dE30B97b7,Violation,RestrictedWrite
789.0,securify,0,0x5a437D94843541d5cB83221a4A4B253dE30B97b7,Violation,RestrictedWrite
803.0,securify,0,0x5a437D94843541d5cB83221a4A4B253dE30B97b7,Violation,RestrictedWrite
820.0,securify,0,0x5a437D94843541d5cB83221a4A4B253dE30B97b7,Violation,RestrictedWrite
338.0,securify,0,0x8ea6c8077d6316b46e449aec8fb60a606cf50eea,Violation,RestrictedWrite
594.0,securify,0,0x8ea6c8077d6316b46e449aec8fb60a606cf50eea,Violation,RestrictedWrite
711.0,securify,0,0x8ea6c8077d6316b46e449aec8fb60a606cf50eea,Violation,RestrictedWrite
418.0,securify,0,0x15e745a2e3b677ec6421291b212d3917b3738dee,Safety,TimestampDepend
614.0,securify,0,0x15e745a2e3b677ec6421291b212d3917b3738dee,Safety,TimestampDepend
213.0,securify,0,0xCF0c7e3Ad3b2C82BdDd286A301aFaAFd185F30EC,Safety,TimestampDepend
430.0,securify,0,0xCF0c7e3Ad3b2C82BdDd286A301aFaAFd185F30EC,Safety,TimestampDepend
593.0,securify,0,0xCF0c7e3Ad3b2C82BdDd286A301aFaAFd185F30EC,Safety,TimestampDepend
737.0,securify,0,0x1213c29b5e1a6f33e0d044f850a57b665e3cde21,Violation,RestrictedWrite
756.0,securify,0,0x1213c29b5e1a6f33e0d044f850a57b665e3cde21,Violation,RestrictedWrite
792.0,securify,0,0x1213c29b5e1a6f33e0d044f850a57b665e3cde21,Violation,RestrictedWrite
806.0,securify,0,0x1213c29b5e1a6f33e0d044f850a57b665e3cde21,Violation,RestrictedWrite
823.0,securify,0,0x1213c29b5e1a6f33e0d044f850a57b665e3cde21,Violation,RestrictedWrite
1225.0,securify,0,0x60f0ee673e413e1c134d1497eeecce8ddd2fdd74,Violation,RestrictedWrite
404.0,securify,0,0x6aC85d0408044AfB786a6d631d4D3426Ce0E031a,Safety,TimestampDepend
451.0,securify,0,0x6aC85d0408044AfB786a6d631d4D3426Ce0E031a,Safety,TimestampDepend
