tool_1,contract,property,type,matches_1,count_1,tool_2,matches_2,count_2
securify,0xcab39d1c7383fc9682a1221bffacbce2bdd967ca,TimestampDepend,Safety,"[951.0, 1844.0]",2.0,horstify,[951.0],1.0
securify,0x18429dedafbb65443edf60402294df5c01aee1da,TimestampDepend,Safety,"[3379.0, 3453.0, 3539.0, 347.0]",4.0,horstify,"[3379.0, 3539.0, 347.0]",3.0
securify,0x18429dedafbb65443edf60402294df5c01aee1da,RestrictedWrite,Violation,"[2876.0, 2972.0, 2636.0, 2985.0, 3007.0, 3043.0, 3128.0, 3233.0, 3141.0, 3163.0, 3199.0]",11.0,horstify,"[2985.0, 2876.0, 2636.0, 2972.0]",4.0
securify,0x1b725d9bcbd26765fe4836d850631037dfb37e0a,TimestampDepend,Safety,[198.0],1.0,horstify,[],0.0
securify,0xbe181da06d93867af0a3ffadcebe345ec35dae4e,RestrictedWrite,Violation,"[447.0, 514.0, 525.0, 590.0, 629.0, 637.0, 645.0, 708.0]",8.0,horstify,"[514.0, 525.0, 590.0, 447.0]",4.0
securify,0x817b0a0855fa6e1e0b9a994979b3d5bf864d9560,TimestampDepend,Safety,"[163.0, 240.0, 290.0, 377.0, 492.0, 539.0]",6.0,horstify,"[163.0, 377.0]",2.0
securify,0xaf2b8e6114da000176c506f77b173251c16b511d,TimestampDepend,Safety,"[636.0, 1209.0]",2.0,horstify,[636.0],1.0
securify,0x50ae8d7c70c33d1f40b36c75fe9f560646134dd5,TimestampDepend,Safety,"[3927.0, 4001.0, 4087.0, 559.0]",4.0,horstify,"[4087.0, 559.0]",2.0
securify,0x7c4a690585ffe89c01aebfce188b9bec8def9e8d,RestrictedWrite,Violation,"[966.0, 978.0, 982.0, 992.0, 1056.0, 1065.0, 1078.0, 1444.0, 1507.0, 1529.0, 1533.0, 1147.0, 1156.0, 1167.0, 1178.0, 1947.0, 2014.0, 2079.0, 2125.0, 2170.0, 2222.0, 2230.0, 2233.0, 2242.0]",24.0,horstify,"[992.0, 1056.0, 1507.0, 1156.0, 1444.0, 966.0, 1065.0, 1167.0, 978.0, 982.0, 1078.0, 1529.0, 1178.0, 1147.0, 1533.0]",15.0
securify,0xB071e5c53094Cabb971E98EBA3B1A86BE555c943,TimestampDepend,Safety,"[144.0, 277.0, 498.0, 587.0, 647.0, 688.0]",6.0,horstify,"[144.0, 498.0]",2.0
securify,0x7011f3edc7fa43c81440f9f43a6458174113b162,TimestampDepend,Safety,"[1155.0, 1233.0, 2947.0, 1315.0, 2480.0, 2732.0]",6.0,horstify,"[1233.0, 2947.0, 1155.0, 1315.0]",4.0
securify,0x7011f3edc7fa43c81440f9f43a6458174113b162,RestrictedWrite,Violation,"[1349.0, 1418.0, 1431.0, 1676.0, 1721.0, 1478.0, 1767.0, 1531.0, 1544.0, 1591.0, 1849.0, 1903.0, 1948.0, 2071.0, 2147.0, 2232.0, 2263.0, 1994.0]",18.0,horstify,[1349.0],1.0
securify,0x2e1cff135ca6bbc0012a01fa246a0a39aeb10d2d,TimestampDepend,Safety,"[917.0, 1074.0, 1117.0, 295.0]",4.0,horstify,"[1074.0, 917.0, 295.0]",3.0
securify,0x2e1cff135ca6bbc0012a01fa246a0a39aeb10d2d,RestrictedWrite,Violation,"[416.0, 369.0]",2.0,horstify,[416.0],1.0
securify,0x754ec4b04c10a0373e849dc61f3112c94393e63d,TimestampDepend,Safety,"[297.0, 432.0, 529.0, 618.0, 898.0, 987.0, 1234.0, 1323.0, 1516.0, 1706.0, 1882.0, 1968.0, 2202.0, 2337.0, 2434.0, 2523.0, 2720.0, 2831.0, 2954.0, 3147.0, 3237.0, 3326.0]",22.0,horstify,"[2720.0, 898.0, 1234.0, 1882.0, 1706.0, 3147.0, 1516.0]",7.0
securify,0xa39fcb48adf288f143459d57a1a0756718c919ae,RestrictedWrite,Violation,"[370.0, 531.0, 595.0, 606.0, 671.0, 708.0, 731.0, 740.0, 757.0]",9.0,horstify,"[370.0, 595.0, 531.0, 606.0, 671.0]",5.0
securify,0x911d71eed45dbc20059004f8476fe149105bf1dc,RestrictedWrite,Violation,"[993.0, 1055.0, 1072.0]",3.0,horstify,"[1072.0, 993.0]",2.0
securify,0x89c2352Cb600df56fe4BFB5882caAdEF3E96213f,TimestampDepend,Safety,[674.0],1.0,horstify,[],0.0
securify,0x89c2352Cb600df56fe4BFB5882caAdEF3E96213f,RestrictedWrite,Violation,"[256.0, 331.0, 337.0, 408.0, 459.0]",5.0,horstify,"[256.0, 337.0, 408.0, 331.0]",4.0
securify,0xf77089f2F00fca83501705b711Cbb10a0De77628,TimestampDepend,Safety,"[1388.0, 1455.0, 1578.0]",3.0,horstify,"[1578.0, 1388.0]",2.0
